RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
RM,CW,Royce Lewis,2024,R,MIN,25,1.508,74,292,668904,2024,262,66,16,0,16,69,25,23.6,8.6,0.252,0.496,0.312,0.808,0.275,46,0,0,357,145,4,0,2,0,5,37,731,0.248,0.457,0.34,0.326,0.31,12.1,5.6,19.7,1111,27.5,198,41.289,5.4,218,37.4,306,24,11,39,15.000000000000002,0.525,20437,-1.5807,6.5086,-1.3104,123.2937,"Lewis, Royce",54,Royce Lewis,NYZ
avail,avail,Ben Rortvedt,2024,L,TBR,26,1.4904,105,316,666163,2024,279,63,13,0,3,84,34,26.6,10.8,0.226,0.305,0.316,0.621,0.313,30,0,1,455,255,6,3,0,0,0,26,814,0.201,0.29,0.283,0.267,0.295,3.6,3.1,26.7,1311,26.9,195,28.301,3.4,170,33.4,353,7,6,52,15.8,0.522,20287,9.6434,-5.6835,-0.9255,86.9019,"Rortvedt, Ben",2,Ben Rortvedt*,avail
GRF,TT,Xavier Edwards,2024,B,MIA,24,1.4786,63,266,669364,2024,233,74,9,2,1,45,28,16.9,10.5,0.318,0.386,0.385,0.771,0.382,19,3,30,367,163,0,0,0,1,4,31,652,0.26,0.334,0.341,0.301,0.337,2.1,3.1,28.5,1036,17,193,42.979,6.9,195,33.7,176,4,6,55,6.399999999999999,0.504,22266,-5.3421,10.7737,5.4696,116.6639,"Edwards, Xavier",64,Xavier Edwards#,STL
BRA,SSF,Michael Harris II,2024,L,ATL,23,1.4717,102,439,671739,2024,412,107,13,2,15,90,20,20.5,4.6,0.26,0.41,0.298,0.708,0.297,45,6,9,444,218,6,4,1,0,3,52,1071,0.282,0.455,0.306,0.336,0.322,9.8,8.6,21.2,1558,25.4,325,49.123,4.1,272,39.6,396,32,28,69,15.9,0.522,25931,4.3904,-4.822,-1.784,94.2168,"Harris II, Michael",8,Michael Harris II*,BAB
RAM,TT,Ryan O'Hearn,2024,L,BAL,30,1.46,134,471,656811,2024,421,109,20,3,13,64,45,13.6,9.6,0.259,0.413,0.331,0.744,0.277,54,1,3,637,293,7,2,2,0,3,56,1144,0.282,0.47,0.324,0.355,0.353,6.9,9.4,23.1,1830,17.7,360,59.332,5,313,39.4,324,25,34,83,4,0.47,16442,-8.6535,7.1682,-0.2178,113.6415,"O'Hearn, Ryan",397,Ryan O'Hearn*,ILK
CK,CB,Kevin Newman,2024,R,ARI,30,1.4594,108,307,621028,2024,284,80,17,1,3,47,15,15.3,4.9,0.282,0.38,0.316,0.696,0.326,28,1,8,319,194,7,0,1,6,2,41,714,0.258,0.327,0.302,0.273,0.294,1.6,1.6,30.2,1061,16.9,245,33.995,4.2,195,33.4,179,4,4,74,10.4,0.519,17696,6.1821,-2.3099,0.8483,91.4028,"Newman, Kevin",6435,Kevin Newman,WWL
VAN,KR,Vinnie Pasquantino,2024,L,KCR,26,1.4511,131,554,686469,2024,496,130,30,2,19,71,40,12.8,7.2,0.262,0.446,0.315,0.761,0.265,97,0,1,704,354,12,4,1,1,13,64,1374,0.266,0.443,0.324,0.331,0.323,7.1,8.9,23.2,2133,14.5,439,70.175,4.8,397,39.2,309,31,39,102,5.6000000000000005,0.483,27676,-7.612,3.2829,-1.4331,107.4051,"Pasquantino, Vinnie",3,Vinnie Pasquantino*,BAB
CK,avail,Jesse Winker,2024,L,- - -,30,1.44,142,498,608385,2024,421,109,23,0,14,105,63,21.1,12.7,0.259,0.413,0.365,0.778,0.311,58,4,14,768,349,11,9,2,2,3,63,1224,0.249,0.393,0.343,0.332,0.357,7.8,3.1,29,2032,19.9,321,67.36,5.5,354,39.9,404,25,10,93,8.400000000000002,0.476,13590,-12.8382,10.1223,-2.8301,121.7355,"Winker, Jesse",79,Jesse Winker*,avail
GRF,VM,Sal Frelick,2024,L,MIL,24,1.4284,139,506,686217,2024,459,118,19,4,2,76,39,15,7.7,0.257,0.329,0.321,0.65,0.304,29,3,17,645,447,6,4,0,1,0,64,1261,0.246,0.304,0.291,0.278,0.311,0.8,3.1,24.7,1970,12.6,384,51.837,4,294,28.6,248,3,12,95,7.3,0.529,29622,3.0372,-6.1336,2.7788,85.2804,"Frelick, Sal",978,Sal Frelick*,WAW
GRF,NB,Luis Rengifo,2024,B,LAA,27,1.4252,78,304,650859,2024,283,85,13,1,6,44,16,14.5,5.3,0.3,0.417,0.347,0.764,0.339,30,7,24,345,110,6,4,0,1,0,41,720,0.261,0.353,0.335,0.293,0.31,2.5,5,28.7,1084,22.3,240,41.218,5.2,215,36.2,242,6,12,69,9.2,0.504,19858,-4.0795,7.8056,1.867,116.9935,"Rengifo, Luis",546,Luis Rengifo#,WWL
